id;depth;comment;read_cnt;good_cnt;bad_cnt;created_at;created_by;modified_at;modified_by
1;85353;경기 purple;49097;34837;87987;2022-12-08T21:42:15;circuit Lead THX;2022-12-08T19:28:14;invoice Sharable
2;52345;경남 제주;46591;70183;19093;2022-12-08T22:06:49;Manager indigo synthesize;2022-12-08T08:53:14;Savings feed
3;44900;online system-worthy eyeballs;25432;36948;33743;2022-12-08T21:46:50;Garden;2022-12-08T05:27:44;state Unbranded 동
4;65052;Analyst;4953;56178;46745;2022-12-08T23:09:26;withdrawal;2022-12-09T02:00:06;Intelligent District
5;60408;salmon;13453;87118;34163;2022-12-08T15:15:04;ivory;2022-12-08T22:01:57;전남 Orchestrator
6;51353;data-warehouse Facilitator Keyboard;27072;54659;22806;2022-12-08T13:57:01;Riel B2B;2022-12-08T05:04:28;technologies
7;52649;one-to-one Tala architectures;73654;65432;65374;2022-12-08T23:40:13;Small payment Enhanced;2022-12-08T04:18:45;Soft
8;23567;동;49630;77190;60376;2022-12-08T14:55:26;payment;2022-12-08T13:09:29;THX
9;59502;Checking Books;14273;96972;59166;2022-12-08T02:40:41;product bypass;2022-12-08T12:41:15;Sleek GB
10;9754;Licensed;19292;36645;54394;2022-12-09T01:31:23;동 Focused deliver;2022-12-08T09:28:41;Chair Baby
